drug_id,cell_line,gene_symbol,log2fc,pvalue
Camptothecin,A549,GENE020,0.5584467201008393,0.2750893097208901
Camptothecin,A549,GENE021,-0.5624758689164285,0.2676203087199879
Camptothecin,A549,GENE022,0.6409601901571008,0.25650475480147544
Camptothecin,A549,GENE023,1.4764608036942888,0.13184973894685384
Camptothecin,A549,GENE024,-0.045039316590103386,0.5220727314742666
Camptothecin,A549,GENE025,-0.25294002661714704,0.39650319186513383
Camptothecin,A549,GENE026,0.8391527549114477,0.21145591664562152
Camptothecin,A549,GENE027,-0.9372344374297559,0.19896035901365686
Camptothecin,A549,GENE028,-0.18388139132651343,0.43002279025249557
Camptothecin,A549,GENE029,-0.2738617414796644,0.4033090251941395
Camptothecin,A549,GENE030,-0.7670325593494639,0.23316428962078314
Camptothecin,A549,GENE031,0.18153480166865435,0.4391217854894515
Camptothecin,A549,GENE032,-0.3134289347690772,0.36997815835540393
Camptothecin,A549,GENE033,-0.6710036520266781,0.24832633902359613
Camptothecin,A549,GENE034,-0.7724994742984987,0.2028689435681497
Camptothecin,A549,GENE035,-0.4213675482434611,0.3042336735350403
Camptothecin,A549,GENE036,0.19602094486629792,0.4290349379269911
Camptothecin,A549,GENE037,-0.062262623796842116,0.48812994400332577
Camptothecin,A549,GENE038,-0.42662997101898836,0.30424629650446694
Camptothecin,A549,GENE039,-0.00714027385254734,0.5258561837382573
Camptothecin,A549,GENE040,-0.7203263694034083,0.2579636171931121
Camptothecin,A549,GENE041,0.1346588271262693,0.46445952891691616
Camptothecin,A549,GENE042,0.9068332879394537,0.21684372056904502
Camptothecin,A549,GENE043,0.2022914475587624,0.4266354067188607
Camptothecin,A549,GENE044,0.04503629349083062,0.5156194605172806
Camptothecin,A549,GENE045,0.041365217900239504,0.4970913652866433
Camptothecin,A549,GENE046,-0.2527211368959317,0.41379640771872894
Camptothecin,A549,GENE047,-2.265087574959561,0.044661253372708286
Camptothecin,A549,GENE048,-0.5880637389945356,0.27595248554442725
Camptothecin,A549,GENE049,1.6887739188639188,0.09549054594279487
Camptothecin,A549,GENE050,0.6632519437183868,0.2496703205478934
Camptothecin,A549,GENE051,-0.4771950642864975,0.30091826013409717
Camptothecin,A549,GENE052,-0.5096707336200357,0.2877524041054486
Camptothecin,A549,GENE053,0.41597909328725563,0.32523824593739026
Camptothecin,A549,GENE054,-0.28710072440383955,0.3828535337088205
Camptothecin,A549,GENE055,-0.7459871627294247,0.24131478233052955
Camptothecin,A549,GENE056,0.32377905450685684,0.3762353733433252
Camptothecin,A549,GENE057,0.2680132674524291,0.3965402639483009
Camptothecin,A549,GENE058,-2.2958611695598043,0.055689192015094445
Camptothecin,A549,GENE059,1.3754741541555615,0.11778712467415592
Camptothecin,A549,GENE060,-0.9483736100914611,0.16239194507733493
Camptothecin,A549,GENE061,-1.0473811302513263,0.1460451534647032
Camptothecin,A549,GENE062,-0.5331607391199843,0.27201159384471685
Camptothecin,A549,GENE063,-0.3509067212638001,0.3779577180620082
Camptothecin,A549,GENE064,-0.48355552730048335,0.3147208024026643
Camptothecin,A549,GENE065,0.7183773362747766,0.25690986943082367
Camptothecin,A549,GENE066,-0.3508499885039149,0.37612361176706177
Camptothecin,A549,GENE067,-0.07164162935853995,0.4641487035676486
Camptothecin,A549,GENE068,-0.3003023406247925,0.3654946276936077
Camptothecin,A549,GENE069,0.23136215682055938,0.398200217842552
Camptothecin,A549,GENE070,-0.5204250766399481,0.2792315981035381
Camptothecin,A549,GENE071,-2.4004710561582803,0.04104901346764544
Camptothecin,A549,GENE072,-0.2474467137826405,0.3855339387018169
Camptothecin,A549,GENE073,-0.024739776391598984,0.5059346461808264
Camptothecin,A549,GENE074,1.0466104788409067,0.14906431508758045
Camptothecin,A549,GENE075,0.8423424823028106,0.22792069031801088
Camptothecin,A549,GENE076,-0.865157655212089,0.18118507220295557
Camptothecin,A549,GENE077,0.07102504595878407,0.46739221316886714
Camptothecin,A549,GENE078,0.5185792324723125,0.2889183699934173
Camptothecin,A549,GENE079,-1.1958621042087862,0.16831787413908617
Camptothecin,A549,GENE080,0.6861888982736233,0.2391119824122152
Camptothecin,A549,GENE081,-0.3388930464966922,0.37438960433470686
Camptothecin,A549,GENE082,-0.34707297675374704,0.3315204469746154
Camptothecin,A549,GENE083,0.05493003652162436,0.4747973367183878
Camptothecin,A549,GENE084,0.17122845900375722,0.4446261086187822
Camptothecin,A549,GENE085,0.9557648032547141,0.20446539974185754
Camptothecin,A549,GENE086,0.7980714719508168,0.22974406795033966
Camptothecin,A549,GENE087,0.3005269721057683,0.36751016665498576
Camptothecin,A549,GENE088,-0.3698093847146761,0.3333782046489843
Camptothecin,A549,GENE089,-0.32462363916685477,0.35241795224442285
Camptothecin,A549,GENE090,0.16658664741991228,0.4472546435658198
Camptothecin,A549,GENE091,-0.12895108227177163,0.43066320431047883
Camptothecin,A549,GENE092,-1.7390846068182781,0.10360406013643424
Camptothecin,A549,GENE093,-0.13413153097475636,0.4410528443620314
Camptothecin,A549,GENE094,2.0801480316330867,0.062226467743714424
Camptothecin,A549,GENE095,0.29687108792060585,0.3904026391356039
Camptothecin,A549,GENE096,0.6064075368413426,0.2866695270711432
Camptothecin,A549,GENE097,0.10155677397325313,0.4730369433797355
Camptothecin,A549,GENE098,0.02478636464970223,0.5171793916844638
Camptothecin,A549,GENE099,1.2006323255123776,0.15469387578867597
Camptothecin,A549,GENE100,-1.0146154275469943,0.1935024475437796
Camptothecin,A549,GENE101,0.9806517359818188,0.1690325369095289
Camptothecin,A549,GENE102,0.9529536184634971,0.1991673289060653
Camptothecin,A549,GENE103,0.11380116046524585,0.45914372172120105
Camptothecin,A549,GENE104,-1.1937997848010202,0.12266036716379686
Camptothecin,A549,GENE105,0.06402053427923027,0.48039678582976847
Camptothecin,A549,GENE106,-0.24066917463986265,0.38503642364115487
Camptothecin,A549,GENE107,-0.9096502247649646,0.19470597111106394
Camptothecin,A549,GENE108,0.4573027577970422,0.311837838043835
Camptothecin,A549,GENE109,-0.882063449650041,0.2083754602310314
Camptothecin,A549,GENE110,0.7499443378375986,0.21230177226911082
Camptothecin,A549,GENE111,-0.3762233501634344,0.3620622739189101
Camptothecin,A549,GENE112,-0.6227920564419959,0.26690665109829376
Camptothecin,A549,GENE113,0.0075321907894973705,0.5066935016281298
Camptothecin,A549,GENE114,-0.251618742832874,0.3870712529289268
Camptothecin,A549,GENE115,0.5226563965038054,0.2686360990591664
Camptothecin,A549,GENE116,0.8414632321864682,0.19995352624550505
Camptothecin,A549,GENE117,1.1908183972539752,0.16448718534211904
Camptothecin,A549,GENE118,-0.18733066417807198,0.41541838629735806
Camptothecin,A549,GENE119,-0.40933849265929,0.3105584768611214
Camptothecin,A549,GENE120,0.9821264834974499,0.1794448847499286
Camptothecin,A549,GENE121,-0.09861083542676188,0.4520489660683964
Camptothecin,A549,GENE122,0.08906421288053225,0.4761476066043256
Camptothecin,A549,GENE123,0.017817729925227944,0.5356249295221307
Camptothecin,A549,GENE124,-1.44973926014365,0.11435095140185805
Camptothecin,A549,GENE125,-0.12645965205349746,0.4369878020952781
Camptothecin,A549,GENE126,1.7837828944561565,0.10101772787534738
Camptothecin,A549,GENE127,-0.3922559469066512,0.34976104296318355
Camptothecin,A549,GENE128,-0.584884216912545,0.25307445234615145
Camptothecin,A549,GENE129,-0.8295457941938283,0.22164789830420994
Camptothecin,A549,GENE130,0.12996073456786467,0.4698352512950781
Camptothecin,A549,GENE131,-0.6455180354490575,0.23489927878156117
Camptothecin,A549,GENE132,-0.7802529571913354,0.2131835652980285
Camptothecin,A549,GENE133,0.1033447315005385,0.46538237620754
Camptothecin,A549,GENE134,1.8792522885987375,0.0764104895473662
Camptothecin,A549,GENE135,0.7814067831040553,0.22365309181364712
Camptothecin,A549,GENE136,0.2778201198167672,0.38757422384437856
Camptothecin,A549,GENE137,-1.003784010681387,0.16678716461277937
Camptothecin,A549,GENE138,0.5337280861173759,0.3085037213630941
Camptothecin,A549,GENE139,-0.7076012597587574,0.23880767286067753
Camptothecin,A549,GENE140,2.0466740155446512,0.0432650275194013
Camptothecin,A549,GENE141,-0.09712569411701728,0.456259067525466
Camptothecin,A549,GENE142,-0.10311947947793326,0.4843441593892899
Camptothecin,A549,GENE143,-1.1389752089052787,0.13185887527175585
Camptothecin,A549,GENE144,0.3987421022391573,0.31012406862402536
Camptothecin,A549,GENE145,0.07260203014272909,0.5070357921821393
Camptothecin,A549,GENE146,0.8975822783194817,0.2113341802738504
Camptothecin,A549,GENE147,-0.037253823265586336,0.514062831920411
Camptothecin,A549,GENE148,-0.8730807793305956,0.21730143153066034
Camptothecin,A549,GENE149,1.3083499733007966,0.1142743920876818
Camptothecin,A549,GENE150,0.32029100347457573,0.36693880854413774
Camptothecin,A549,GENE151,-1.7111441622849322,0.06851521544285874
Camptothecin,A549,GENE152,0.382102194000954,0.3414136840787536
Camptothecin,A549,GENE153,-0.09898148435065766,0.473696710002762
Camptothecin,A549,GENE154,0.23841404716205516,0.39405645144155194
Camptothecin,A549,GENE155,1.0335220008756898,0.1721054532264504
Camptothecin,A549,GENE156,-0.9724696451853748,0.16574191295096122
Camptothecin,A549,GENE157,-0.291290457817467,0.35944438537923606
Camptothecin,A549,GENE158,0.1304532169158367,0.4276825510713979
Camptothecin,A549,GENE159,-0.03583701827871854,0.5092586711802962
Camptothecin,A549,GENE160,-0.5119092597445272,0.31022661509447347
Camptothecin,MCF7,TP53,-0.279870987364136,0.40401377779154
Camptothecin,MCF7,EGFR,0.7525125573304104,0.2522193090124781
Camptothecin,MCF7,MYC,-0.2542029774468763,0.4148680994102692
Camptothecin,MCF7,BRAF,-0.6209202583527668,0.2734222190258726
Camptothecin,MCF7,KRAS,0.26595844610942293,0.40336007044428873
Camptothecin,MCF7,PIK3CA,0.3481755633262436,0.3705000758350083
Camptothecin,MCF7,PTEN,-0.28687690015408235,0.3860629791292886
Camptothecin,MCF7,MAPK1,-0.3403721372852768,0.377734301021087
Camptothecin,MCF7,AKT1,0.4101228697431277,0.3398052156988323
Camptothecin,MCF7,STAT3,-0.8536385778137993,0.20210938464557304
Camptothecin,MCF7,CDK1,0.27626657617372014,0.3901210159029125
Camptothecin,MCF7,CDKN1A,0.14777522548957633,0.44574062118987645
Camptothecin,MCF7,RB1,0.999024771143514,0.16854157168396253
Camptothecin,MCF7,NFkB1,-0.7897603786562969,0.21338746742989628
Camptothecin,MCF7,ERBB2,-0.3735539444701314,0.3308190530622299
Camptothecin,MCF7,MTOR,-0.3170709791403701,0.3584056379208234
Camptothecin,MCF7,JUN,0.37432659152856335,0.3274083484523024
Camptothecin,MCF7,FOS,-0.26119061939736143,0.40254127619947716
Camptothecin,MCF7,HIF1A,0.5271976079245572,0.29425211134645324
Camptothecin,MCF7,VEGFA,1.6454254135271522,0.07657102580510106
Camptothecin,MCF7,GENE001,0.3293525628548769,0.3614639616305572
Camptothecin,MCF7,GENE002,-0.4545788085425621,0.3275093054661858
Camptothecin,MCF7,GENE003,0.04351761407333629,0.49350055748868926
Camptothecin,MCF7,GENE004,-0.4736706899710622,0.3060641454428955
Camptothecin,MCF7,GENE005,2.0804225430302927,0.06817914116354146
Camptothecin,MCF7,GENE006,-1.286465620692172,0.14538250406996747
Camptothecin,MCF7,GENE007,-0.1927691199839556,0.3973517406352081
Camptothecin,MCF7,GENE008,0.6652192816345416,0.2608639860733519
Camptothecin,MCF7,GENE009,0.9996586031249021,0.18061028289204475
Camptothecin,MCF7,GENE010,-1.7290235643431306,0.0839688382432057
Camptothecin,MCF7,GENE011,0.4068442879783254,0.3524536439235692
Camptothecin,MCF7,GENE012,-0.7505822241715434,0.21009866037147318
Camptothecin,MCF7,GENE013,-0.13441708839758776,0.46182292485314
Camptothecin,MCF7,GENE014,-0.21993214380770879,0.41366618342043565
Camptothecin,MCF7,GENE015,0.6024853236503741,0.26137313562620157
Camptothecin,MCF7,GENE016,0.3362125094475465,0.3374501164250051
Camptothecin,MCF7,GENE017,-0.164636853527909,0.41863973969088925
Camptothecin,MCF7,GENE018,-0.23514072336472186,0.38638920525975784
Camptothecin,MCF7,GENE019,-0.23671309635024795,0.3919345657092851
Camptothecin,MCF7,GENE020,0.47594150901427695,0.29381321241609
Camptothecin,MCF7,GENE021,-0.791703360519756,0.23057447989589366
Camptothecin,MCF7,GENE022,0.7077414012554245,0.22413831068449466
Camptothecin,MCF7,GENE023,1.6970787406515389,0.07095602892951319
Camptothecin,MCF7,GENE024,0.52589173350795,0.31215910652993784
Camptothecin,MCF7,GENE025,-0.12368387543005233,0.4543192106859487
Camptothecin,MCF7,GENE026,0.4202636251257782,0.33131256270037035
Camptothecin,MCF7,GENE027,-0.019245860009870525,0.49022714199520867
Camptothecin,MCF7,GENE028,-0.09545574569417146,0.4747666567179716
Camptothecin,MCF7,GENE029,0.15648707590842592,0.42267231603563105
Camptothecin,MCF7,GENE030,-0.35915170808537433,0.33594014872418543
Camptothecin,MCF7,GENE031,0.4529438057452515,0.3009806827062119
Camptothecin,MCF7,GENE032,0.22269941220587022,0.4056943853599487
Camptothecin,MCF7,GENE033,0.007105944408098575,0.523619828241393
Camptothecin,MCF7,GENE034,0.05492647347737223,0.4773298758070222
Camptothecin,MCF7,GENE035,0.5648247424861852,0.2688488010453629
Camptothecin,MCF7,GENE036,-0.43543232382316427,0.3178519256285897
Camptothecin,MCF7,GENE037,-0.8059805898250423,0.23006650737676013
Camptothecin,MCF7,GENE038,-0.22401356990011526,0.41339062634178686
Camptothecin,MCF7,GENE039,-1.0620490371650868,0.15867740973313962
Camptothecin,MCF7,GENE040,0.15155283305028938,0.4315598431708891
Camptothecin,MCF7,GENE041,0.583250414962553,0.28402031874097344
Camptothecin,MCF7,GENE042,1.2149238643269844,0.14041563405381344
Camptothecin,MCF7,GENE043,0.9748662978006147,0.18005896811686406
Camptothecin,MCF7,GENE044,-0.17826604497203832,0.4204249294827558
Camptothecin,MCF7,GENE045,0.1191481310607243,0.43716184223226595
Camptothecin,MCF7,GENE046,-0.4143290181688973,0.3489887579562633
Camptothecin,MCF7,GENE047,0.3682992049252551,0.37033455139118887
Camptothecin,MCF7,GENE048,0.06252301558322344,0.5058483747795706
Camptothecin,MCF7,GENE049,1.1837347769268292,0.14838493150651128
Camptothecin,MCF7,GENE050,-0.3852611054170515,0.34018787804002354
Camptothecin,MCF7,GENE051,-0.3120146468202718,0.37359729349907483
Camptothecin,MCF7,GENE052,0.4062802981815321,0.3514417976840529
Camptothecin,MCF7,GENE053,-0.9403458846372557,0.18960890433680058
Camptothecin,MCF7,GENE054,0.430982542530078,0.3475364530196602
Camptothecin,MCF7,GENE055,0.3116997194581758,0.3741346825594553
Camptothecin,MCF7,GENE056,-0.8466330873548947,0.18537364940284642
Camptothecin,MCF7,GENE057,-0.4502664425935718,0.32294301845079326
Camptothecin,MCF7,GENE058,-0.2221896013511765,0.38911800510861183
Camptothecin,MCF7,GENE059,1.4001644879033455,0.1283659028331074
Camptothecin,MCF7,GENE060,0.11363070456728397,0.45305890191080667
Camptothecin,MCF7,GENE061,-0.6552657067322802,0.22947067838961505
Camptothecin,MCF7,GENE062,0.5442701388112722,0.3017414072465229
Camptothecin,MCF7,GENE063,0.5926051457554448,0.2636833106106037
Camptothecin,MCF7,GENE064,-0.33501959677767335,0.37753590801623216
Camptothecin,MCF7,GENE065,-0.1775161638233621,0.43235906194675383
Camptothecin,MCF7,GENE066,0.1287366172913289,0.47769699187047954
Camptothecin,MCF7,GENE067,-0.6671440077779783,0.2487747473542374
Camptothecin,MCF7,GENE068,-0.060723319742169726,0.4904846630929085
Camptothecin,MCF7,GENE069,0.4348702201142064,0.31684005492883044
Camptothecin,MCF7,GENE070,0.5285624666781543,0.27606108140441243
Camptothecin,MCF7,GENE071,-0.37337589031573293,0.3260498390755441
Camptothecin,MCF7,GENE072,0.14865348942491122,0.4524696641167478
Camptothecin,MCF7,GENE073,0.3113999157319609,0.3852277784258676
Camptothecin,MCF7,GENE074,1.5367695691607328,0.1039864844219068
Camptothecin,MCF7,GENE075,-0.07434821205611021,0.48219639074264403
Camptothecin,MCF7,GENE076,-0.3396209583567196,0.3686508357043366
Camptothecin,MCF7,GENE077,-0.44939995412123207,0.32819323607612266
Camptothecin,MCF7,GENE078,-0.4548169487449862,0.3022312765135655
Camptothecin,MCF7,GENE079,0.29954804947593344,0.37769212236494937
Camptothecin,MCF7,GENE080,-0.16163264464802812,0.4503913348334667
Camptothecin,MCF7,GENE081,0.5715329514449594,0.27293540417191237
Camptothecin,MCF7,GENE082,0.18579691524326325,0.4092934542560423
Camptothecin,MCF7,GENE083,-0.05919895027311462,0.47022975187267146
Camptothecin,MCF7,GENE084,-0.11250295168518769,0.48263209235076443
Camptothecin,MCF7,GENE085,0.603796085215131,0.27834664050292524
Camptothecin,MCF7,GENE086,0.27050093630181443,0.38124027378494674
Camptothecin,MCF7,GENE087,0.06646809261134545,0.5093725172992036
Camptothecin,MCF7,GENE088,-0.024904315913287928,0.4987740448092848
Camptothecin,MCF7,GENE089,-0.5595574640133543,0.2824708648475433
Camptothecin,MCF7,GENE090,0.14177903530545652,0.4640959237185021
Camptothecin,MCF7,GENE091,-0.14030800808240723,0.4702825363580283
Camptothecin,MCF7,GENE092,0.18729255472548909,0.42306937623612795
Camptothecin,MCF7,GENE093,-0.524414167040838,0.2837023588223996
Camptothecin,MCF7,GENE094,-0.6132346760337903,0.2747877314157633
Camptothecin,MCF7,GENE095,-0.47234534376821513,0.2874615915044539
Camptothecin,MCF7,GENE096,1.1514559488615563,0.1294579643027835
Camptothecin,MCF7,GENE097,0.49286135841178186,0.32487151620725596
Camptothecin,MCF7,GENE098,-0.29723227406911096,0.38949935321162954
Camptothecin,MCF7,GENE099,1.8816895952606225,0.056613519455180325
Camptothecin,MCF7,GENE100,0.642266516966947,0.26754511746460086
Camptothecin,MCF7,GENE101,0.3445181016074861,0.36255323107119614
Camptothecin,MCF7,GENE102,0.6774225861866249,0.22436313823224463
Camptothecin,MCF7,GENE103,0.5143213151515329,0.30322615956643
Camptothecin,MCF7,GENE104,-1.0154644603550915,0.19779586866683957
Camptothecin,MCF7,GENE105,-0.6254981654909235,0.25168487135959355
Camptothecin,MCF7,GENE106,1.3029887334797592,0.1107180150424772
Camptothecin,MCF7,GENE107,-0.40963219677740126,0.3116002392148348
Camptothecin,MCF7,GENE108,0.30785437458227005,0.36665385531149763
Camptothecin,MCF7,GENE109,0.32844168311217137,0.33987732203472204
Camptothecin,MCF7,GENE110,0.39582457396139553,0.3337029808950026
Camptothecin,MCF7,GENE111,1.0955330027798587,0.16679391648582997
Camptothecin,MCF7,GENE112,-0.1788388480427887,0.42748248507097725
Camptothecin,MCF7,GENE113,-1.0059590016018858,0.1937739748600882
Camptothecin,MCF7,GENE114,-1.26466871996233,0.1298427153265464
Camptothecin,MCF7,GENE115,0.649088853917348,0.2580751355817158
Camptothecin,MCF7,GENE116,0.08771053765005653,0.4831313030872215
Camptothecin,MCF7,GENE117,0.6942955607220913,0.25423071882652437
Camptothecin,MCF7,GENE118,-1.3236264399487543,0.14596427578689733
Camptothecin,MCF7,GENE119,0.36477138331790704,0.343626727116959
Camptothecin,MCF7,GENE120,0.12808072921691233,0.42877783664390473
Camptothecin,MCF7,GENE121,-0.009940805144432519,0.503344596413635
Camptothecin,MCF7,GENE122,0.3204519247046181,0.3438825568768207
Camptothecin,MCF7,GENE123,-0.08595668553587896,0.45147099575400546
Camptothecin,MCF7,GENE124,-1.089750639510352,0.16425843495932066
Camptothecin,MCF7,GENE125,-0.33885450281252244,0.3375317592940442
Camptothecin,MCF7,GENE126,0.1828645419326439,0.4380987811909095
Camptothecin,MCF7,GENE127,-1.0426088217827194,0.1432578488760689
Camptothecin,MCF7,GENE128,-0.9306744518384117,0.206302343271171
Camptothecin,MCF7,GENE129,-0.14986928830460142,0.453478284356464
Camptothecin,MCF7,GENE130,-0.7956572479379536,0.23796368755418484
Camptothecin,MCF7,GENE131,0.3183157422064075,0.3435097640540068
Camptothecin,MCF7,GENE132,-0.12253480915816818,0.43785083662760615
Camptothecin,MCF7,GENE133,-0.44157862254823854,0.3421543652831836
Camptothecin,MCF7,GENE134,0.8766527379903979,0.20404991664270916
Camptothecin,MCF7,GENE135,0.41577137885464127,0.3530505621311828
Camptothecin,MCF7,GENE136,0.10380634411403225,0.47860692381249353
Camptothecin,MCF7,GENE137,-0.0745945798793594,0.499079249142125
Camptothecin,MCF7,GENE138,-0.32970670572550115,0.3481502620092642
Camptothecin,MCF7,GENE139,-0.06410576304755536,0.4648153589367671
Camptothecin,MCF7,GENE140,0.8070664428540979,0.2006460933654017
Camptothecin,MCF7,GENE141,0.5970909812755344,0.2701402137683125
Camptothecin,MCF7,GENE142,0.3157231467669689,0.3553297343611992
Camptothecin,MCF7,GENE143,1.2269210870728546,0.14046041992875818
Camptothecin,MCF7,GENE144,0.08482644473542561,0.4964806283492783
Camptothecin,MCF7,GENE145,-0.0015063015919196201,0.5222660727837156
Camptothecin,MCF7,GENE146,0.689137393167862,0.2204306391535038
Camptothecin,MCF7,GENE147,0.3417928726005414,0.3765209469750176
Camptothecin,MCF7,GENE148,-0.06652904233553422,0.4811928937538489
Camptothecin,MCF7,GENE149,0.5628393921848148,0.2681225179310852
Camptothecin,MCF7,GENE150,-0.30231388930086484,0.3904805757375501
Camptothecin,MCF7,GENE151,-0.8499865814640811,0.22687984771955688
Camptothecin,MCF7,GENE152,-0.09378933213512583,0.48353821852312756
Camptothecin,MCF7,GENE153,-0.4828087999385758,0.2803795569770063
Camptothecin,MCF7,GENE154,-0.4267070198748271,0.3344190988119627
Camptothecin,MCF7,GENE155,0.02279608223502498,0.5346138331235949
Camptothecin,MCF7,GENE156,-0.3154960649369737,0.34788480273239103
Camptothecin,MCF7,GENE157,0.45374738420862787,0.31863274596153585
Camptothecin,MCF7,GENE158,0.017947274883849867,0.5224523652713488
Camptothecin,MCF7,GENE159,0.551856934695299,0.2945459488076823
Camptothecin,MCF7,GENE160,0.06628303398239294,0.4878337202801147
Camptothecin,PC3,TP53,-0.18914644176851467,0.40633709483254327
Camptothecin,PC3,EGFR,0.2733896770826198,0.3681771631703851
Camptothecin,PC3,MYC,-0.58444813287086,0.29446523565425453
Camptothecin,PC3,BRAF,-0.37125717542847037,0.3255409191611542
Camptothecin,PC3,KRAS,-0.4641347257082252,0.3305554687449334
Camptothecin,PC3,PIK3CA,0.29718440446158473,0.3980845454178128
Camptothecin,PC3,PTEN,0.5201029641118312,0.2681226387015701
Camptothecin,PC3,MAPK1,-0.04737668678920124,0.5133642742813882
Camptothecin,PC3,AKT1,0.11481396508182662,0.435702595165241
Camptothecin,PC3,STAT3,-0.0762356775525481,0.4840975869622827
Camptothecin,PC3,CDK1,-0.4053879599464925,0.3170544039459185
Camptothecin,PC3,CDKN1A,0.43113151239843944,0.30225164040432273
Camptothecin,PC3,RB1,0.3262673468797396,0.34380618182750794
Camptothecin,PC3,NFkB1,-0.9462729926519818,0.17946106139124313
Camptothecin,PC3,ERBB2,-0.19546928483261258,0.3963795321554252
Camptothecin,PC3,MTOR,1.6207004401414566,0.09111257436754527
Camptothecin,PC3,JUN,-1.5510228187614052,0.11718118795032251
Camptothecin,PC3,FOS,-1.7963554308661467,0.1052801934286473
Camptothecin,PC3,HIF1A,-0.3123533615810517,0.3520239938706512
Camptothecin,PC3,VEGFA,2.269021032427469,0.0565231470041139
Camptothecin,PC3,GENE001,-0.29327404426067155,0.3840437621440188
Camptothecin,PC3,GENE002,0.9554022942293926,0.18859600293218617
Camptothecin,PC3,GENE003,-0.31453598603471444,0.38388172473927173
Camptothecin,PC3,GENE004,-0.08427793703138052,0.47049784835874603
Camptothecin,PC3,GENE005,1.5355227616668174,0.07925182925272761
Camptothecin,PC3,GENE006,-0.05649589093404326,0.5144411577562262
Camptothecin,PC3,GENE007,-0.6124675250944761,0.2448717537908729
Camptothecin,PC3,GENE008,0.04447613630485105,0.515309980333487
Camptothecin,PC3,GENE009,0.5829568576857003,0.26332357015120267
Camptothecin,PC3,GENE010,-1.1947930040404422,0.13070909000562755
Camptothecin,PC3,GENE011,0.21542012216687417,0.4289709191114565
Camptothecin,PC3,GENE012,0.12165383206418287,0.4803115299294403
Camptothecin,PC3,GENE013,-0.17184417396889176,0.42242747010871967
Camptothecin,PC3,GENE014,0.774604738263152,0.2134075855931875
Camptothecin,PC3,GENE015,0.47108325258191447,0.2941128168502911
Camptothecin,PC3,GENE016,0.43004819207153483,0.3418405779041622
Camptothecin,PC3,GENE017,0.25121106459520604,0.39344781708033455
Camptothecin,PC3,GENE018,0.860415148559767,0.2052197436053604
Camptothecin,PC3,GENE019,-0.20946005962427328,0.39343247463597286
Camptothecin,PC3,GENE020,-0.2408866314924198,0.3821650527923424
Camptothecin,PC3,GENE021,0.813259735849841,0.18931740982706693
Camptothecin,PC3,GENE022,-1.2406474932826008,0.152664119759716
Camptothecin,PC3,GENE023,1.7798745040070632,0.10744766092917699
Camptothecin,PC3,GENE024,-0.08081287273123557,0.45385073644712937
Camptothecin,PC3,GENE025,-0.6706373355091433,0.2535129096757621
